,City Name,Max Temperature (F),Wind speed (mph),Humidity (%),Cloudiness,Latitude
0,Mariinsk,41.98,10.16,71,56,56.21
1,Chokurdakh,27.04,12.86,88,97,70.62
2,Voloshka,37.77,7.34,88,100,61.33
3,Namibe,64.93,6.58,82,53,-15.19
4,Punta Arenas,41,28.86,77,0,-53.16
5,Watertown,46.4,8.05,93,90,44.9
6,Severo-Kurilsk,48.01,14.41,96,100,50.68
7,Butaritari,84.87,2.44,59,100,3.07
8,Ribeira Grande,69.54,8.68,68,100,38.52
9,Lithakia,75.2,8.05,73,40,37.72
10,Plettenberg Bay,58.32,7.43,88,100,-34.05
11,Laval,46,6.93,70,5,45.58
12,Lerwick,48.2,8.05,87,67,60.15
13,Mataura,46.99,7,91,86,-46.19
14,Hisua,82.4,5.17,83,75,24.84
15,East London,55.4,2.24,87,0,-33.02
16,Saint-Philippe,46,9.13,86,1,45.36
17,Auki,72.9,6.76,89,29,12.18
18,Naze,72.33,4.47,98,100,5.43
19,Goderich,54,11.01,85,100,43.74
20,Nikolskoye,41,4.47,93,90,59.7
21,Hobart,82,10.29,31,0,-42.88
22,Husavik,42.01,5.7,85,100,50.56
23,Busselton,68,3,74,100,-33.64
24,Ushuaia,41,29.97,65,40,-54.81
25,Saskylakh,19.39,0.87,76,4,71.97
26,Kodiak,59,11.41,93,90,39.95
27,Castro,35.6,6.93,94,0,-42.48
28,Tuktoyaktuk,35.6,14.99,93,90,69.44
29,Sao Miguel do Araguaia,73.95,3.49,77,0,-13.28
30,Tiksi,24.57,27.38,87,100,71.64
31,Jamestown,83.45,1.45,19,12,-33.21
32,Rikitea,64.39,9.8,76,90,-23.12
33,Clyde River,32,3.36,98,90,70.47
34,Dubbo,84.2,8.05,16,40,-32.25
35,Mar del Plata,46.48,7.56,37,0,-46.43
36,Chiredzi,58.49,3.89,91,34,-21.05
37,Kloulklubed,86,9.17,70,75,7.04
38,Boulder,53.6,4.7,76,90,40.02
39,Avarua,77,6.93,61,33,-21.21
40,Victoria,87.8,2.24,66,75,5.28
41,Guerrero Negro,66.59,13.89,79,0,27.97
42,Port Elizabeth,80.6,10.29,57,90,39.31
43,Bredasdorp,51.8,5.82,87,36,-34.53
44,Lebu,51.23,2.46,88,62,8.96
45,Lere,69.61,4.99,92,100,9.66
46,Maragogi,70.71,4.12,92,48,-9.01
47,New Norfolk,82,10.29,31,0,-42.78
48,Vaini,75.2,0.65,83,40,15.34
49,Cayenne,78.8,6.08,83,0,4.94
50,Tasiilaq,41,38.03,60,100,65.61
51,Airai,93.57,3.29,32,0,-8.93
52,Pisco,64,2.24,82,0,-13.71
53,Touros,71.6,5.82,88,20,-5.2
54,Hithadhoo,82.35,16.51,80,95,-0.6
55,Hambantota,75.2,2.24,100,40,6.12
56,Cabo San Lucas,80.01,4.7,73,40,22.89
57,Deputatskiy,22.27,25.52,86,100,69.3
58,Guantanamo,67.41,5.14,97,31,-16.14
59,Hilo,80.6,8.05,69,90,19.71
60,Kapaa,86,17.22,74,40,22.08
61,Alamosa,50,9.17,24,1,37.47
62,Yellowknife,48.2,10.29,61,75,62.45
63,Ulladulla,87.8,8.05,15,0,-35.36
64,Cherskiy,27.85,16.93,56,0,68.75
65,Ancud,35.6,6.93,75,0,-41.87
66,Rawson,48.33,7.43,23,0,-43.3
67,Mao,78.01,3.91,100,75,19.55
68,Tuatapere,46.99,7,91,67,-46.13
69,Mahebourg,73.4,8.05,94,75,-20.41
70,Mokrousovo,43.08,14.2,62,100,55.81
71,Gumdag,61.31,8.01,22,0,39.2
72,Codrington,82.99,4.7,28,0,-28.95
73,Regidor,74.51,2.93,91,98,8.67
74,Calbuco,37.4,3.36,93,0,-41.77
75,Victoria,87.8,2.24,66,75,5.28
76,Qaanaaq,21.19,4.09,71,26,77.48
77,Buin,48.2,8.05,57,0,-33.73
78,Mazagao,84.2,11.41,83,20,-0.12
79,Arandis,54.65,2.8,94,1,-22.42
80,Kupang,84.53,9.17,61,67,-10.16
81,Dingle,85.61,5.17,67,89,11
82,Grootfontein,46.03,2.35,59,98,-19.56
83,Torbay,41,9.17,93,90,47.66
84,San Quintin,85.74,4.27,66,46,17.54
85,Port Hardy,50,13.87,93,90,50.7
86,Bluff,80.75,13.24,29,0,-23.58
87,Weyburn,37.99,3,90,100,49.67
88,Nabire,81.71,2.01,77,96,-3.36
89,Saldanha,55.57,1.3,62,100,41.42
90,Constitucion,64,9.08,87,90,23.99
91,Los Llanos de Aridane,71.6,11.41,88,40,28.66
92,Albany,53.01,11.41,62,90,42.65
93,Georgetown,77,4.7,94,0,6.8
94,Lata,39.87,4.83,56,7,30.78
95,Khatanga,23.82,8.46,68,0,71.98
96,Parabel,42.14,17.16,76,46,58.71
97,Carnarvon,49.65,2.46,31,61,-30.97
98,Norman Wells,44.6,3.36,93,90,65.28
99,Cape Town,59,3.36,93,40,-33.93
100,Sioux Lookout,39.2,4.7,77,90,50.1
101,Shimoda,82.4,10.29,61,75,34.7
102,Batagay-Alyta,15.2,4.68,72,100,67.8
103,Hofn,31.31,13.85,99,100,64.25
104,Hermanus,55.99,1.01,89,0,-34.42
105,Sitka,57,18.01,94,89,37.17
106,Cortez,45,6.93,35,1,37.35
107,Mount Isa,91.4,12.75,18,0,-20.73
108,Inhambane,58.11,3.11,92,0,-23.87
109,Luau,67.18,1.36,79,24,-10.7
110,Port Macquarie,80.01,10.29,29,0,-31.43
